iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP	Accuracy_SumError	Accuracy_SumWeight
361	78	103	78	80	78	80	103	92	119
362	76	101	76	80	76	80	101	90	119
363	76	101	76	80	76	80	101	90	119
364	76	101	76	80	76	80	101	90	119
365	76	101	76	80	76	80	101	90	119
366	76	101	76	80	76	80	101	90	119
367	76	101	76	80	76	80	101	90	119
368	76	101	76	80	76	80	101	90	119
369	76	101	76	80	76	80	101	90	119
370	76	101	76	80	76	80	101	90	119
371	76	101	76	80	76	80	101	90	119
372	76	101	76	80	76	80	101	90	119
373	76	101	76	80	76	80	101	90	119
374	76	101	76	80	76	80	101	90	119
375	76	101	76	80	76	80	101	90	119
376	76	101	76	80	76	80	101	90	119
377	76	101	76	80	76	80	101	90	119
378	76	101	76	80	76	80	101	90	119
379	76	101	76	80	76	80	101	90	119
380	76	101	76	80	76	80	101	90	119
381	76	101	76	80	76	80	101	90	119
382	76	101	76	80	76	80	101	90	119
383	76	101	76	80	76	80	101	90	119
384	76	101	76	80	76	80	101	90	119
385	76	101	76	80	76	80	101	90	119
386	76	101	76	80	76	80	101	90	119
387	77	102	77	80	77	80	102	91	119
388	77	102	77	80	77	80	102	91	119
389	77	102	77	80	77	80	102	91	119
390	77	102	77	80	77	80	102	91	119
391	78	103	78	80	78	80	103	92	119
392	78	103	78	80	78	80	103	92	119
393	78	103	78	80	78	80	103	92	119
394	77	102	77	80	77	80	102	91	119
395	77	102	77	80	77	80	102	91	119
396	77	102	77	80	77	80	102	91	119
397	77	102	77	80	77	80	102	91	119
398	76	101	76	80	76	80	101	90	119
399	76	101	76	80	76	80	101	90	119
400	77	102	77	80	77	80	102	91	119
401	77	102	77	80	77	80	102	91	119
402	77	102	77	80	77	80	102	91	119
403	77	102	77	80	77	80	102	91	119
404	77	102	77	80	77	80	102	91	119
405	77	102	77	80	77	80	102	91	119
406	77	102	77	80	77	80	102	91	119
407	77	102	77	80	77	80	102	91	119
408	77	102	77	80	77	80	102	91	119
409	77	102	77	80	77	80	102	91	119
410	77	102	77	80	77	80	102	91	119
411	77	101	77	80	77	80	101	92	119
412	77	101	77	80	77	80	101	92	119
413	77	101	77	80	77	80	101	92	119
414	77	101	77	80	77	80	101	92	119
415	77	101	77	80	77	80	101	92	119
416	77	101	77	80	77	80	101	92	119
417	77	103	77	80	77	80	103	90	119
418	77	103	77	80	77	80	103	90	119
419	77	102	77	80	77	80	102	91	119
420	77	101	77	80	77	80	101	92	119
421	77	101	77	80	77	80	101	92	119
422	77	102	77	80	77	80	102	91	119
423	77	102	77	80	77	80	102	91	119
424	77	102	77	80	77	80	102	91	119
425	77	102	77	80	77	80	102	91	119
426	77	103	77	80	77	80	103	90	119
427	77	103	77	80	77	80	103	90	119
428	77	104	77	80	77	80	104	89	119
429	77	104	77	80	77	80	104	89	119
430	77	104	77	80	77	80	104	89	119
431	77	103	77	80	77	80	103	90	119
432	77	103	77	80	77	80	103	90	119
433	77	103	77	80	77	80	103	90	119
434	77	103	77	80	77	80	103	90	119
435	77	102	77	80	77	80	102	91	119
436	77	102	77	80	77	80	102	91	119
437	77	102	77	80	77	80	102	91	119
438	77	102	77	80	77	80	102	91	119
439	77	103	77	80	77	80	103	90	119
440	77	103	77	80	77	80	103	90	119
441	77	103	77	80	77	80	103	90	119
442	77	103	77	80	77	80	103	90	119
443	77	103	77	80	77	80	103	90	119
444	77	103	77	80	77	80	103	90	119
445	77	103	77	80	77	80	103	90	119
446	77	102	77	80	77	80	102	91	119
447	77	102	77	80	77	80	102	91	119
448	77	102	77	80	77	80	102	91	119
449	77	102	77	80	77	80	102	91	119
450	77	102	77	80	77	80	102	91	119
451	77	102	77	80	77	80	102	91	119
452	77	102	77	80	77	80	102	91	119
453	77	102	77	80	77	80	102	91	119
454	77	102	77	80	77	80	102	91	119
455	77	101	77	80	77	80	101	92	119
456	77	101	77	80	77	80	101	92	119
457	77	101	77	80	77	80	101	92	119
458	77	101	77	80	77	80	101	92	119
459	77	101	77	80	77	80	101	92	119
460	77	101	77	80	77	80	101	92	119
461	76	100	76	80	76	80	100	91	119
462	76	100	76	80	76	80	100	91	119
463	76	100	76	80	76	80	100	91	119
464	77	102	77	80	77	80	102	91	119
465	77	102	77	80	77	80	102	91	119
466	77	102	77	80	77	80	102	91	119
467	77	102	77	80	77	80	102	91	119
468	77	102	77	80	77	80	102	91	119
469	77	102	77	80	77	80	102	91	119
470	77	102	77	80	77	80	102	91	119
471	76	101	76	80	76	80	101	90	119
472	76	101	76	80	76	80	101	90	119
473	76	101	76	80	76	80	101	90	119
474	76	101	76	80	76	80	101	90	119
475	76	101	76	80	76	80	101	90	119
476	76	101	76	80	76	80	101	90	119
477	76	101	76	80	76	80	101	90	119
478	76	101	76	80	76	80	101	90	119
479	76	101	76	80	76	80	101	90	119
480	76	101	76	80	76	80	101	90	119
481	76	101	76	80	76	80	101	90	119
482	77	101	77	80	77	80	101	92	119
483	77	101	77	80	77	80	101	92	119
484	77	101	77	80	77	80	101	92	119
485	76	100	76	80	76	80	100	91	119
486	76	101	76	80	76	80	101	90	119
487	76	100	76	80	76	80	100	91	119
488	76	100	76	80	76	80	100	91	119
489	76	101	76	80	76	80	101	90	119
490	76	101	76	80	76	80	101	90	119
491	76	101	76	80	76	80	101	90	119
492	77	102	77	80	77	80	102	91	119
493	77	102	77	80	77	80	102	91	119
494	77	101	77	80	77	80	101	92	119
495	77	101	77	80	77	80	101	92	119
496	77	101	77	80	77	80	101	92	119
497	77	101	77	80	77	80	101	92	119
498	77	101	77	80	77	80	101	92	119
499	76	100	76	80	76	80	100	91	119
500	77	102	77	80	77	80	102	91	119
501	76	100	76	80	76	80	100	91	119
502	76	100	76	80	76	80	100	91	119
503	76	100	76	80	76	80	100	91	119
504	76	100	76	80	76	80	100	91	119
505	76	100	76	80	76	80	100	91	119
506	76	100	76	80	76	80	100	91	119
507	76	101	76	80	76	80	101	90	119
508	76	100	76	80	76	80	100	91	119
509	76	100	76	80	76	80	100	91	119
510	76	100	76	80	76	80	100	91	119
511	76	100	76	80	76	80	100	91	119
512	77	101	77	80	77	80	101	92	119
513	77	101	77	80	77	80	101	92	119
514	77	101	77	80	77	80	101	92	119
515	77	101	77	80	77	80	101	92	119
516	76	100	76	80	76	80	100	91	119
517	76	100	76	80	76	80	100	91	119
518	76	100	76	80	76	80	100	91	119
519	76	100	76	80	76	80	100	91	119
520	76	100	76	80	76	80	100	91	119
521	77	101	77	80	77	80	101	92	119
522	77	101	77	80	77	80	101	92	119
523	76	100	76	80	76	80	100	91	119
524	77	101	77	80	77	80	101	92	119
525	77	101	77	80	77	80	101	92	119
526	77	101	77	80	77	80	101	92	119
527	77	101	77	80	77	80	101	92	119
528	77	101	77	80	77	80	101	92	119
529	77	101	77	80	77	80	101	92	119
530	77	101	77	80	77	80	101	92	119
531	77	101	77	80	77	80	101	92	119
532	77	101	77	80	77	80	101	92	119
533	77	101	77	80	77	80	101	92	119
534	77	101	77	80	77	80	101	92	119
535	77	101	77	80	77	80	101	92	119
536	77	101	77	80	77	80	101	92	119
537	77	101	77	80	77	80	101	92	119
538	77	101	77	80	77	80	101	92	119
539	76	100	76	80	76	80	100	91	119
540	76	100	76	80	76	80	100	91	119
541	76	100	76	80	76	80	100	91	119
542	76	100	76	80	76	80	100	91	119
543	75	99	75	80	75	80	99	90	119
544	75	99	75	80	75	80	99	90	119
545	75	99	75	80	75	80	99	90	119
546	75	99	75	80	75	80	99	90	119
547	75	99	75	80	75	80	99	90	119
548	75	99	75	80	75	80	99	90	119
549	75	99	75	80	75	80	99	90	119
550	75	99	75	80	75	80	99	90	119
551	75	99	75	80	75	80	99	90	119
552	75	99	75	80	75	80	99	90	119
553	75	99	75	80	75	80	99	90	119
554	75	99	75	80	75	80	99	90	119
555	75	99	75	80	75	80	99	90	119
556	75	99	75	80	75	80	99	90	119
557	75	99	75	80	75	80	99	90	119
558	75	99	75	80	75	80	99	90	119
